epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,6419.72,1.08158,0.62469,1.02735,0.97199,0.91096,0.95231,0.68669,1.13022,0.59687,0.96342,0.005809,0.005809,0.005809
129,6469.84,1.08773,0.62142,1.0301,0.96482,0.9237,0.95953,0.68807,1.11758,0.58363,0.95806,0.005776,0.005776,0.005776
130,6520,1.07561,0.61933,1.02899,0.94435,0.93151,0.95989,0.68014,1.12867,0.59385,0.96057,0.005743,0.005743,0.005743
131,6570.13,1.06967,0.61394,1.02223,0.94985,0.91887,0.96012,0.68728,1.10183,0.60653,0.95596,0.00571,0.00571,0.00571
132,6620.29,1.07198,0.61746,1.02342,0.9588,0.91652,0.95693,0.68512,1.10941,0.58896,0.96278,0.005677,0.005677,0.005677
133,6670.28,1.0595,0.61597,1.02045,0.96184,0.92066,0.95652,0.68407,1.12275,0.58509,0.95693,0.005644,0.005644,0.005644
134,6720.3,1.07337,0.62161,1.02803,0.96237,0.91952,0.95512,0.68625,1.1075,0.59377,0.95588,0.005611,0.005611,0.005611
135,6770.36,1.07947,0.62541,1.02955,0.94882,0.93114,0.96259,0.68638,1.11748,0.59458,0.96167,0.005578,0.005578,0.005578
136,6820.39,1.06525,0.61376,1.02399,0.96525,0.91838,0.95756,0.68129,1.14411,0.5873,0.96109,0.005545,0.005545,0.005545
137,6870.47,1.07508,0.6124,1.0263,0.95571,0.91438,0.95572,0.68336,1.13273,0.59268,0.96007,0.005512,0.005512,0.005512
138,6920.6,1.06918,0.61749,1.02516,0.96276,0.9218,0.96009,0.69082,1.11587,0.58153,0.96422,0.005479,0.005479,0.005479
139,6970.77,1.06418,0.60949,1.02192,0.96303,0.92009,0.95636,0.68887,1.1059,0.58302,0.95604,0.005446,0.005446,0.005446
140,7020.92,1.07999,0.62068,1.03019,0.96392,0.90982,0.95409,0.68802,1.11447,0.58651,0.9602,0.005413,0.005413,0.005413
141,7071.04,1.06896,0.61223,1.02041,0.95143,0.92808,0.95849,0.69036,1.11691,0.58806,0.96183,0.00538,0.00538,0.00538
142,7121.12,1.05699,0.60656,1.01695,0.96835,0.92922,0.96393,0.68987,1.13214,0.574,0.95954,0.005347,0.005347,0.005347
